Workload,FileSystem,BlockSize,InodeSize,BlockGroup,AtimeOption,JournalOption,SpecialOption,IOScheduler,Device,Throughput
File,ext3,1024,512,2,noatime,writeback,none,noop,sata,273.67
File,ext3,1024,1024,2,none,writeback,none,deadline,sata,274.33
File,ext3,4096,2048,2,none,journal,none,cfq,sata,274.67
File,ext3,1024,128,2,noatime,journal,none,cfq,sata,275.0
File,ext3,4096,512,2,noatime,journal,none,noop,sata,275.0
File,ext3,1024,none,2,none,none,none,deadline,sata,275.25
File,ext3,1024,128,2,none,journal,none,noop,sata,275.5
File,ext3,4096,4096,2,none,ordered,none,noop,sata,275.67
File,ext3,4096,2048,2,none,journal,none,deadline,sata,276.33
File,ext3,1024,512,2,noatime,journal,none,cfq,sata,276.33
File,ext3,1024,none,2,noatime,none,none,noop,sata,276.75
File,ext3,2048,2048,2,noatime,journal,none,noop,sata,277.0
File,ext3,4096,1024,2,none,journal,none,noop,sata,277.0
File,ext3,4096,2048,2,noatime,journal,none,cfq,sata,277.0
File,ext3,1024,128,2,noatime,journal,none,noop,sata,277.25
File,ext3,1024,1024,2,noatime,writeback,none,deadline,sata,277.67
File,ext3,1024,256,2,noatime,none,none,cfq,sata,278.0
File,ext3,1024,512,2,none,journal,none,deadline,sata,278.33
File,ext3,4096,512,2,none,journal,none,deadline,sata,279.0
File,ext3,1024,128,2,none,ordered,none,noop,sata,279.25
File,ext3,1024,1024,4,none,journal,none,deadline,sata,279.33
File,ext3,1024,256,2,none,ordered,none,deadline,sata,279.67
File,ext3,2048,1024,4,none,journal,none,noop,sata,280.0
File,ext3,1024,none,2,none,ordered,none,noop,sata,280.0
File,ext3,2048,1024,2,none,journal,none,deadline,sata,280.33
File,ext3,1024,512,2,noatime,ordered,none,noop,sata,280.33
File,ext3,2048,1024,4,none,journal,none,cfq,sata,281.0
File,ext3,4096,512,2,noatime,journal,none,cfq,sata,281.0
File,ext3,4096,1024,2,noatime,journal,none,deadline,sata,281.33
File,ext3,1024,256,2,noatime,ordered,none,deadline,sata,282.0
File,ext3,1024,256,2,noatime,ordered,none,noop,sata,282.0
File,ext3,4096,4096,8,noatime,journal,none,noop,sata,282.33
File,ext3,4096,1024,2,none,journal,none,deadline,sata,282.67
File,ext3,1024,128,2,none,none,none,noop,sata,283.0
File,ext3,4096,2048,8,none,journal,none,noop,sata,283.33
File,ext3,4096,512,2,none,journal,none,cfq,sata,283.33
File,ext3,1024,1024,4,noatime,journal,none,deadline,sata,283.33
File,ext3,4096,4096,4,noatime,journal,none,noop,sata,283.33
File,ext3,2048,1024,none,none,journal,none,noop,sata,283.67
File,ext3,4096,4096,4,noatime,journal,none,deadline,sata,284.0
File,ext3,4096,4096,2,none,none,none,deadline,sata,284.33
File,ext3,4096,1024,4,noatime,journal,none,cfq,sata,284.33
File,ext3,4096,2048,4,noatime,journal,none,noop,sata,284.67
File,ext3,4096,2048,4,noatime,journal,none,deadline,sata,284.67
File,ext3,2048,1024,2,none,journal,none,noop,sata,285.0
File,ext3,4096,1024,2,noatime,journal,none,noop,sata,285.0
File,ext3,2048,512,2,none,journal,none,noop,sata,285.0
File,ext3,1024,none,2,noatime,ordered,none,deadline,sata,285.25
File,ext3,2048,1024,4,noatime,journal,none,noop,sata,285.33
File,ext3,1024,1024,4,none,journal,none,noop,sata,285.33
File,ext3,4096,512,2,none,journal,none,noop,sata,285.33
File,ext3,4096,4096,8,none,journal,none,cfq,sata,285.67
File,ext3,2048,256,2,noatime,journal,none,cfq,sata,286.33
File,ext3,1024,1024,4,none,ordered,none,noop,sata,286.33
File,ext3,4096,1024,2,noatime,journal,none,cfq,sata,287.33
File,ext3,4096,256,2,noatime,journal,none,cfq,sata,287.67
File,ext3,2048,none,2,none,journal,none,cfq,sata,288.0
File,ext3,1024,none,2,noatime,none,none,cfq,sata,288.0
File,ext3,4096,1024,2,none,journal,none,cfq,sata,288.0
File,ext3,4096,4096,8,noatime,journal,none,deadline,sata,288.33
File,ext3,4096,512,2,noatime,journal,none,deadline,sata,288.33
File,ext3,4096,256,2,noatime,journal,none,noop,sata,288.67
File,ext3,4096,4096,2,noatime,none,none,noop,sata,288.67
File,ext3,1024,128,2,none,journal,none,cfq,sata,289.0
File,ext3,4096,256,2,none,journal,none,noop,sata,289.33
File,ext3,4096,4096,2,noatime,none,none,cfq,sata,290.0
File,ext2,1024,1024,2,none,none,none,noop,sata,290.25
File,ext3,4096,4096,2,none,none,none,cfq,sata,290.33
File,ext2,1024,512,2,none,none,none,deadline,sata,291.67
File,ext3,2048,512,2,none,journal,none,deadline,sata,292.0
File,ext3,2048,512,4,none,journal,none,cfq,sata,292.0
File,ext3,4096,none,2,none,journal,none,cfq,sata,292.0
File,ext3,4096,4096,2,noatime,ordered,none,cfq,sata,292.0
File,ext3,4096,1024,4,none,journal,none,deadline,sata,292.0
File,ext3,2048,256,2,noatime,journal,none,noop,sata,292.0
File,ext3,4096,2048,4,noatime,journal,none,cfq,sata,292.33
File,ext3,4096,2048,4,none,journal,none,deadline,sata,292.33
File,ext3,1024,1024,4,none,journal,none,cfq,sata,292.33
File,ext3,2048,none,2,none,journal,none,deadline,sata,292.33
File,ext3,2048,1024,2,noatime,journal,none,deadline,sata,292.67
File,ext3,4096,4096,8,none,journal,none,noop,sata,293.67
File,ext3,2048,256,2,none,journal,none,noop,sata,293.67
File,ext3,4096,2048,2,none,ordered,none,noop,sata,293.67
File,ext3,2048,1024,16,none,journal,none,deadline,sata,294.0
File,ext3,1024,256,2,none,none,none,deadline,sata,294.12
File,ext3,2048,1024,2,none,journal,none,cfq,sata,294.33
File,ext3,4096,128,2,noatime,journal,none,deadline,sata,294.33
File,ext3,4096,1024,4,none,journal,none,noop,sata,295.33
File,ext3,1024,128,2,noatime,none,none,deadline,sata,295.5
File,ext3,4096,none,2,none,journal,none,noop,sata,295.67
File,ext3,2048,1024,none,none,journal,none,deadline,sata,295.67
File,ext3,4096,4096,8,none,journal,none,deadline,sata,295.67
File,ext3,1024,256,2,none,none,none,cfq,sata,296.33
File,ext3,1024,512,4,noatime,ordered,none,noop,sata,296.33
File,ext3,4096,128,2,noatime,journal,none,noop,sata,296.67
File,ext3,1024,256,2,none,writeback,none,deadline,sata,297.0
File,ext3,1024,128,2,noatime,ordered,none,deadline,sata,297.25
File,ext3,4096,none,2,noatime,journal,none,deadline,sata,297.33
File,ext3,4096,1024,4,noatime,journal,none,noop,sata,297.33
File,ext3,4096,256,2,none,journal,none,deadline,sata,298.0
File,ext3,4096,4096,2,noatime,none,none,deadline,sata,298.33
File,ext3,4096,1024,4,noatime,journal,none,deadline,sata,298.33
File,ext3,4096,2048,8,noatime,journal,none,noop,sata,298.67
File,ext2,1024,512,2,none,none,none,noop,sata,298.67
File,ext2,1024,1024,2,noatime,none,none,noop,sata,299.12
File,ext3,4096,256,2,noatime,journal,none,deadline,sata,299.33
File,ext3,4096,512,4,none,journal,none,deadline,sata,299.33
File,ext3,1024,none,2,none,none,none,cfq,sata,299.5
File,ext3,1024,256,2,none,ordered,none,noop,sata,299.5
File,ext3,2048,512,2,noatime,journal,none,cfq,sata,299.67
File,ext3,2048,128,2,none,journal,none,noop,sata,300.0
File,ext3,2048,128,2,none,journal,none,cfq,sata,300.33
File,ext3,2048,1024,2,noatime,journal,none,noop,sata,300.33
File,ext3,2048,none,2,noatime,journal,none,deadline,sata,300.67
File,ext3,2048,128,2,noatime,journal,none,cfq,sata,300.67
File,ext3,4096,128,2,none,journal,none,cfq,sata,301.0
File,ext3,4096,2048,8,none,journal,none,deadline,sata,301.0
File,ext3,4096,512,4,noatime,journal,none,noop,sata,301.67
File,ext3,1024,1024,4,none,ordered,none,deadline,sata,302.0
File,ext3,2048,1024,4,none,journal,none,cfq,500sas,302.0
File,ext3,2048,2048,4,none,journal,none,deadline,sata,302.67
File,ext3,1024,none,2,none,writeback,none,deadline,sata,302.75
File,ext3,1024,none,2,noatime,ordered,none,cfq,sata,303.0
File,ext3,1024,1024,4,none,none,none,noop,sata,303.33
File,ext3,2048,2048,4,noatime,journal,none,cfq,sata,303.33
File,ext3,4096,none,2,noatime,journal,none,noop,sata,304.0
File,ext3,1024,1024,4,noatime,journal,none,cfq,sata,304.67
File,ext3,2048,none,2,noatime,journal,none,noop,sata,304.67
File,ext3,1024,256,4,none,journal,none,deadline,sata,304.67
File,ext3,1024,256,2,none,none,none,noop,sata,304.75
File,ext3,4096,2048,8,none,journal,none,cfq,sata,305.0
File,ext3,2048,512,2,noatime,journal,none,deadline,sata,305.33
File,ext3,4096,2048,2,noatime,ordered,none,noop,sata,305.33
File,ext3,4096,none,2,noatime,journal,none,cfq,sata,305.33
File,ext3,1024,128,2,noatime,none,none,noop,sata,305.5
File,ext3,4096,256,4,noatime,journal,none,cfq,sata,305.67
File,ext3,4096,128,2,none,journal,none,noop,sata,305.67
File,ext3,1024,none,2,none,ordered,none,cfq,sata,305.75
File,ext3,1024,512,4,noatime,none,none,noop,sata,306.0
File,ext3,1024,none,2,none,writeback,none,noop,sata,306.0
File,ext3,4096,256,4,none,journal,none,noop,sata,306.0
File,ext3,1024,128,2,none,none,none,deadline,sata,306.25
File,ext3,1024,512,4,noatime,journal,none,deadline,sata,306.33
File,ext3,2048,256,2,noatime,journal,none,deadline,sata,306.33
File,ext3,2048,512,2,none,journal,none,cfq,sata,306.33
File,ext3,4096,4096,16,noatime,journal,none,deadline,sata,306.67
File,ext3,4096,4096,4,noatime,ordered,none,noop,sata,307.0
File,ext3,4096,1024,8,none,journal,none,cfq,sata,307.0
File,ext3,1024,1024,2,none,writeback,none,noop,sata,307.12
File,ext3,1024,128,2,none,none,none,cfq,sata,307.25
File,ext3,4096,2048,4,none,journal,none,noop,sata,307.33
File,ext3,4096,2048,2,none,none,none,deadline,sata,307.33
File,ext3,1024,1024,4,none,writeback,none,noop,sata,307.67
File,ext3,4096,4096,16,noatime,journal,none,cfq,sata,307.67
File,ext3,1024,1024,4,none,ordered,none,cfq,sata,307.67
File,ext3,4096,2048,8,noatime,journal,none,deadline,sata,307.67
File,ext3,2048,128,2,noatime,journal,none,noop,sata,308.0
File,ext3,4096,none,4,none,journal,none,noop,sata,308.67
File,ext3,2048,512,2,noatime,journal,none,noop,sata,309.0
File,ext3,4096,256,4,noatime,journal,none,deadline,sata,309.33
File,ext3,4096,4096,4,none,none,none,deadline,sata,309.67
File,ext3,2048,128,2,noatime,journal,none,deadline,sata,309.67
File,ext3,4096,4096,4,none,ordered,none,noop,sata,309.67
File,ext3,2048,128,2,none,journal,none,deadline,sata,309.67
File,ext3,2048,1024,16,none,journal,none,cfq,sata,310.0
File,ext3,4096,256,2,none,journal,none,cfq,sata,310.0
File,ext3,2048,2048,4,none,journal,none,cfq,sata,310.0
File,ext3,1024,1024,8,none,journal,none,deadline,sata,310.0
File,ext3,4096,1024,4,none,journal,none,cfq,sata,310.67
File,ext3,2048,2048,4,none,journal,none,noop,sata,310.67
File,ext3,4096,1024,2,noatime,ordered,none,deadline,sata,311.0
File,ext3,1024,none,2,none,none,none,noop,sata,311.11
File,ext3,1024,256,2,noatime,ordered,none,cfq,sata,311.33
File,ext3,2048,256,2,none,journal,none,cfq,sata,311.33
File,ext3,4096,512,4,none,journal,none,cfq,sata,311.67
File,ext3,4096,1024,2,noatime,none,none,noop,sata,312.0
File,ext3,4096,4096,4,noatime,none,none,deadline,sata,312.0
File,ext3,2048,2048,2,none,ordered,none,deadline,sata,312.0
File,ext3,4096,1024,8,none,journal,none,noop,sata,312.33
File,ext3,1024,128,2,none,ordered,none,cfq,sata,312.5
File,ext3,1024,128,2,none,ordered,none,deadline,sata,312.56
File,ext3,4096,none,4,noatime,journal,none,deadline,sata,312.67
File,ext3,1024,1024,4,noatime,journal,none,noop,sata,312.67
File,ext2,1024,512,2,noatime,none,none,deadline,sata,312.67
File,ext3,2048,2048,2,none,none,none,deadline,sata,312.67
File,ext3,4096,256,8,noatime,journal,none,deadline,sata,312.67
File,ext3,2048,none,2,noatime,journal,none,cfq,sata,312.67
File,ext3,2048,1024,8,none,journal,none,cfq,sata,312.88
File,ext3,4096,none,2,none,journal,none,deadline,sata,313.0
File,ext3,1024,512,4,none,journal,none,deadline,sata,313.0
File,ext3,4096,4096,16,noatime,journal,none,noop,sata,313.33
File,ext3,2048,2048,8,noatime,journal,none,cfq,sata,313.33
File,ext3,4096,512,8,noatime,journal,none,deadline,sata,313.67
File,ext3,1024,1024,4,none,none,none,deadline,sata,313.67
File,ext3,4096,4096,8,noatime,journal,none,cfq,sata,314.67
File,ext3,1024,512,2,none,writeback,none,noop,sata,314.67
File,ext3,4096,2048,4,none,journal,none,cfq,sata,314.67
File,ext3,4096,2048,2,none,none,none,noop,sata,314.67
File,ext3,2048,512,4,noatime,journal,none,noop,sata,315.33
File,ext3,2048,1024,4,noatime,none,none,noop,sata,315.33
File,ext3,1024,1024,4,noatime,ordered,none,deadline,sata,315.33
File,ext2,1024,512,2,noatime,none,none,noop,sata,315.33
File,ext3,1024,1024,4,noatime,ordered,none,noop,sata,315.67
File,ext3,4096,512,4,noatime,journal,none,deadline,sata,316.0
File,ext3,4096,4096,16,none,journal,none,noop,sata,316.0
File,ext3,2048,2048,4,noatime,journal,none,deadline,sata,316.33
File,ext3,2048,2048,2,noatime,none,none,deadline,sata,316.67
File,ext3,4096,128,2,noatime,journal,none,cfq,sata,317.0
File,ext3,4096,512,8,noatime,journal,none,noop,sata,317.0
File,ext3,2048,1024,none,none,journal,none,cfq,sata,317.0
File,ext3,4096,512,4,none,journal,none,noop,sata,317.0
File,ext3,1024,128,2,noatime,ordered,none,cfq,sata,317.25
File,ext3,1024,1024,2,noatime,journal,none,deadline,500sas,317.33
File,ext3,4096,1024,2,noatime,none,none,deadline,sata,317.33
File,ext3,1024,256,4,none,journal,none,cfq,sata,317.67
File,ext3,4096,4096,4,noatime,none,none,noop,sata,317.67
File,ext3,2048,256,2,none,journal,none,deadline,sata,317.67
File,ext3,4096,1024,8,noatime,journal,none,deadline,sata,317.67
File,ext3,4096,none,4,none,journal,none,deadline,sata,317.67
File,ext3,1024,128,2,noatime,none,none,cfq,sata,317.75
File,ext3,2048,1024,8,noatime,journal,none,noop,sata,318.0
File,ext3,4096,512,4,noatime,journal,none,cfq,sata,318.33
File,ext3,4096,4096,2,none,ordered,none,cfq,sata,318.33
File,ext3,1024,none,4,none,journal,none,cfq,sata,318.5
File,ext3,4096,none,4,none,journal,none,cfq,sata,318.67
File,ext3,1024,none,4,noatime,journal,none,cfq,sata,318.75
File,ext3,4096,2048,4,none,none,none,noop,sata,319.0
File,ext3,4096,none,4,noatime,journal,none,cfq,sata,319.0
File,ext3,4096,256,4,none,journal,none,deadline,sata,319.67
File,ext3,2048,2048,2,none,none,none,noop,sata,319.67
File,ext3,4096,256,4,none,journal,none,cfq,sata,320.0
File,ext3,1024,512,4,noatime,none,none,deadline,sata,320.33
File,ext3,4096,2048,8,noatime,journal,none,cfq,sata,320.33
File,ext3,1024,256,2,noatime,writeback,none,noop,sata,320.5
File,ext3,4096,2048,none,none,journal,none,deadline,sata,320.67
File,ext3,4096,256,8,noatime,journal,none,noop,sata,321.0
File,ext3,4096,256,4,noatime,journal,none,noop,sata,321.0
File,ext3,4096,none,8,noatime,journal,none,deadline,sata,321.33
File,ext3,4096,4096,none,none,journal,none,cfq,sata,321.67
File,ext3,4096,128,8,noatime,journal,none,noop,sata,321.67
File,ext3,2048,256,4,none,journal,none,cfq,sata,322.0
File,ext3,4096,128,4,none,journal,none,noop,sata,322.33
File,ext3,1024,1024,4,noatime,none,none,noop,sata,322.5
File,ext3,4096,2048,16,none,journal,none,deadline,sata,322.67
File,ext3,4096,4096,none,noatime,journal,none,deadline,sata,322.67
File,ext3,2048,2048,4,noatime,journal,none,noop,sata,323.0
File,ext3,2048,2048,2,noatime,none,none,noop,sata,323.0
File,ext3,1024,128,2,noatime,ordered,none,noop,sata,323.67
File,ext3,4096,128,4,none,journal,none,cfq,sata,323.67
File,ext3,1024,128,4,none,journal,none,cfq,sata,324.0
File,ext3,4096,4096,16,none,journal,none,cfq,sata,324.0
File,ext3,4096,none,8,none,journal,none,cfq,sata,324.33
File,ext3,4096,2048,16,none,journal,none,cfq,sata,324.33
File,ext3,2048,1024,none,noatime,journal,none,cfq,sata,324.67
File,ext3,2048,none,2,none,journal,none,noop,sata,325.33
File,ext3,4096,none,4,noatime,journal,none,noop,sata,325.33
File,ext3,2048,512,16,noatime,journal,none,cfq,sata,325.33
File,ext3,1024,1024,8,none,journal,none,noop,sata,325.67
File,ext3,4096,128,4,noatime,journal,none,noop,sata,325.67
File,ext3,4096,4096,4,none,none,none,noop,sata,325.67
File,ext3,1024,256,2,none,ordered,none,cfq,sata,326.0
File,ext3,1024,256,4,noatime,none,none,deadline,sata,326.33
File,ext3,4096,4096,none,noatime,journal,none,noop,sata,326.33
File,ext3,4096,4096,16,none,journal,none,deadline,sata,326.33
File,ext3,4096,4096,4,noatime,ordered,none,deadline,sata,326.33
File,ext3,1024,none,4,none,journal,none,deadline,sata,326.5
File,ext3,2048,1024,8,noatime,journal,none,cfq,sata,326.62
File,ext3,4096,4096,32,noatime,journal,none,noop,sata,326.67
File,ext2,1024,1024,2,none,none,none,deadline,sata,326.88
File,ext3,2048,1024,8,none,journal,none,deadline,sata,327.0
File,ext3,4096,128,2,none,journal,none,deadline,sata,327.0
File,ext3,4096,2048,2,noatime,none,none,deadline,sata,327.33
File,ext3,1024,1024,none,noatime,journal,none,deadline,sata,328.0
File,ext3,2048,2048,16,none,journal,none,deadline,sata,328.0
File,ext3,4096,256,8,noatime,journal,none,cfq,sata,328.0
File,ext3,2048,512,4,noatime,journal,none,cfq,sata,328.0
File,ext3,2048,2048,none,none,journal,none,cfq,sata,328.0
File,ext3,1024,none,none,none,journal,none,noop,sata,328.25
File,ext3,4096,512,8,none,journal,none,noop,sata,328.33
File,ext3,1024,512,4,noatime,journal,none,noop,sata,328.33
File,ext3,4096,1024,2,none,none,none,deadline,sata,328.33
File,ext3,2048,2048,2,noatime,ordered,none,noop,sata,328.33
File,ext3,1024,256,4,noatime,journal,none,cfq,sata,328.33
File,ext3,4096,1024,8,none,journal,none,deadline,sata,328.67
File,ext3,2048,1024,none,noatime,journal,none,deadline,sata,328.75
File,ext3,4096,2048,2,none,ordered,none,deadline,sata,329.0
File,ext3,4096,128,8,noatime,journal,none,deadline,sata,329.0
File,ext3,4096,2048,16,noatime,journal,none,cfq,sata,329.0
File,ext3,4096,1024,8,noatime,journal,none,noop,sata,329.0
File,ext3,1024,1024,4,none,none,none,cfq,sata,329.0
File,ext3,4096,128,4,noatime,journal,none,deadline,sata,329.33
File,ext3,4096,2048,2,noatime,ordered,none,deadline,sata,329.33
File,ext3,2048,512,4,none,journal,none,noop,sata,329.33
File,ext3,4096,none,8,none,journal,none,deadline,sata,329.67
File,ext3,4096,2048,16,noatime,journal,none,deadline,sata,329.67
File,ext3,4096,512,8,none,journal,none,deadline,sata,329.67
File,ext3,1024,1024,4,noatime,none,none,deadline,sata,330.0
File,ext3,4096,2048,2,noatime,none,none,cfq,sata,330.0
File,ext3,4096,4096,4,none,ordered,none,deadline,sata,330.0
File,ext3,1024,256,4,noatime,journal,none,deadline,sata,330.33
File,ext3,1024,1024,none,none,journal,none,deadline,sata,330.67
File,ext3,4096,2048,32,none,journal,none,cfq,sata,330.67
File,ext3,4096,2048,none,none,journal,none,noop,sata,331.0
File,ext3,4096,4096,32,none,journal,none,deadline,sata,331.0
File,ext3,4096,256,8,none,journal,none,deadline,sata,331.33
File,ext3,4096,1024,2,none,none,none,noop,sata,331.62
File,ext3,1024,512,4,none,journal,none,noop,sata,331.67
File,ext3,4096,none,8,noatime,journal,none,noop,sata,331.67
File,ext3,4096,128,8,none,journal,none,deadline,sata,331.67
File,ext3,2048,1024,none,noatime,journal,none,noop,sata,331.75
File,ext3,4096,256,8,none,journal,none,cfq,sata,332.0
File,ext3,4096,128,4,none,journal,none,deadline,sata,332.0
File,ext3,4096,4096,32,none,journal,none,cfq,sata,332.33
File,ext3,1024,256,8,none,journal,none,noop,sata,332.33
File,ext3,4096,2048,2,noatime,none,none,noop,sata,332.67
File,ext3,4096,4096,none,none,journal,none,deadline,sata,332.67
File,ext3,1024,256,4,none,journal,none,noop,sata,332.67
File,ext3,1024,512,8,none,journal,none,cfq,sata,332.67
File,ext3,2048,none,4,none,journal,none,noop,sata,332.67
File,ext3,2048,2048,2,noatime,none,none,cfq,sata,333.0
File,ext3,1024,1024,8,noatime,journal,none,deadline,sata,333.0
File,ext3,4096,none,8,noatime,journal,none,cfq,sata,333.33
File,ext3,1024,512,4,noatime,journal,none,cfq,sata,333.67
File,ext3,4096,256,8,none,journal,none,noop,sata,333.67
File,ext3,4096,2048,16,noatime,journal,none,noop,sata,333.67
File,ext3,4096,4096,none,noatime,journal,none,cfq,sata,334.0
File,ext3,4096,128,8,none,journal,none,noop,sata,334.0
File,ext3,2048,1024,16,noatime,journal,none,noop,sata,334.0
File,ext3,2048,256,4,noatime,journal,none,cfq,sata,334.33
File,ext3,4096,4096,32,noatime,journal,none,cfq,sata,334.67
File,ext3,2048,512,8,noatime,journal,none,cfq,sata,334.67
File,ext3,4096,2048,2,none,none,none,cfq,sata,334.67
File,ext3,1024,none,4,none,none,none,deadline,sata,334.89
File,ext3,4096,none,2,none,ordered,none,noop,sata,335.0
File,ext3,2048,2048,16,none,journal,none,cfq,sata,335.33
File,ext3,1024,256,8,none,journal,none,deadline,sata,335.33
File,ext3,4096,1024,4,none,none,none,noop,sata,335.33
File,ext3,2048,1024,8,noatime,journal,none,deadline,sata,335.67
File,ext3,4096,2048,2,none,ordered,none,cfq,sata,336.0
File,ext3,2048,1024,2,none,ordered,none,cfq,sata,336.0
File,ext3,4096,2048,32,none,journal,none,noop,sata,336.33
File,ext3,2048,128,4,noatime,journal,none,cfq,sata,336.33
File,ext3,4096,4096,none,none,journal,none,noop,sata,336.67
File,ext3,2048,1024,16,noatime,journal,none,deadline,sata,336.67
File,ext3,1024,512,none,noatime,journal,none,cfq,sata,336.67
File,ext3,1024,256,4,noatime,journal,none,noop,sata,337.0
File,ext3,1024,none,4,noatime,none,none,cfq,sata,337.0
File,ext3,2048,256,4,none,journal,none,noop,sata,337.0
File,ext3,1024,1024,4,noatime,ordered,none,cfq,sata,337.33
File,ext3,4096,512,8,none,journal,none,cfq,sata,337.33
File,ext3,1024,1024,2,none,journal,none,noop,500sas,337.88
